TOTAL NACIONAL,
    2 personas,48.175,48.149,48.073,48.010,47.899,47.752,47.627,47.505,47.344,47.173,47.018,46.875,46.750,46.594,46.454,46.358,
    3 personas,25.464,25.671,25.871,26.070,26.274,26.477,26.680,26.884,27.097,27.314,27.532,27.749,27.965,28.195,28.413,28.654,
    4 personas,20.054,20.294,20.540,20.778,21.027,21.290,21.534,21.766,22.013,22.258,22.486,22.708,22.916,23.143,23.353,23.555,
    5 personas o más,3.741,3.839,3.940,4.044,4.152,4.267,4.382,4.497,4.618,4.743,4.866,4.994,5.124,5.261,5.401,5.544,
León,
    Total,191.691,192.360,192.998,193.601,194.187,194.736,195.301,195.854,196.372,196.869,197.343,197.845,198.367,198.824,199.381,199.972,
    1 persona,66.201,65.867,65.507,65.120,64.705,64.244,63.819,63.365,62.859,62.339,61.804,61.300,60.798,60.207,59.725,59.225,
    2 personas,67.567,67.660,67.725,67.769,67.795,67.814,67.803,67.787,67.760,67.691,67.620,67.543,67.471,67.395,67.310,67.278,
    3 personas,33.641,34.002,34.365,34.728,35.099,35.473,35.843,36.226,36.618,37.021,37.418,37.816,38.219,38.631,39.041,39.451,
    4 personas,20.075,20.495,20.931,21.375,21.835,22.304,22.781,23.265,23.762,24.275,24.786,25.294,25.805,26.329,26.850,27.365,
    5 personas o más,4.207,4.335,4.470,4.609,4.753,4.901,5.054,5.211,5.374,5.543,5.715,5.892,6.074,6.262,6.456,6.654,
Palencia,
    Total,63.894,64.182,64.444,64.686,64.898,65.117,65.300,65.470,65.625,65.779,65.936,66.103,66.279,66.428,66.597,66.790,
    1 persona,22.033,21.923,21.815,21.690,21.540,21.401,21.245,21.086,20.903,20.715,20.523,20.344,20.167,19.969,19.794,19.623,
    2 personas,21.460,21.516,21.541,21.559,21.562,21.561,21.530,21.480,21.433,21.376,21.330,21.280,21.225,21.165,21.096,21.054,
    3 personas,11.012,11.177,11.341,11.510,11.684,11.860,12.040,12.226,12.419,12.617,12.817,13.017,13.225,13.434,13.640,13.849,
    4 personas,7.212,7.348,7.490,7.633,7.783,7.935,8.093,8.257,8.422,8.596,8.768,8.940,9.117,9.294,9.479,9.657,
    5 personas o más,2.177,2.219,2.258,2.295,2.329,2.362,2.392,2.422,2.448,2.474,2.498,2.521,2.544,2.565,2.588,2.607,
Salamanca,
    Total,139.457,139.735,139.954,140.140,140.274,140.351,140.436,140.523,140.576,140.599,140.638,140.691,140.795,140.817,140.921,141.028,
    1 persona,49.242,48.844,48.417,47.953,47.452,46.889,46.343,45.793,45.198,44.592,43.973,43.399,42.848,42.197,41.655,41.068,
    2 personas,47.571,47.546,47.470,47.397,47.289,47.175,47.041,46.927,46.791,46.622,46.506,46.374,46.275,46.161,46.059,45.983,
    3 personas,24.618,24.908,25.198,25.488,25.778,26.062,26.352,26.638,26.934,27.231,27.522,27.803,28.082,28.374,28.641,28.919,
    4 personas,14.212,14.573,14.952,15.334,15.733,16.149,16.569,16.983,17.418,17.865,18.299,18.728,19.155,19.601,20.034,20.477,
    5 personas o más,3.814,3.864,3.918,3.968,4.021,4.076,4.130,4.182,4.234,4.288,4.338,4.387,4.435,4.485,4.532,4.581,
Segovia,
    Total,60.208,60.332,60.459,60.565,60.671,60.753,60.850,60.932,61.014,61.098,61.198,61.316,61.468,61.616,61.815,62.043,
    1 persona,18.359,18.283,18.207,18.124,18.038,17.939,17.852,17.752,17.652,17.555,17.465,17.390,17.336,17.269,17.248,17.239,
    2 personas,18.092,18.147,18.194,18.235,18.266,18.289,18.303,18.314,18.320,18.314,18.321,18.339,18.361,18.399,18.422,18.475,
    3 personas,11.642,11.661,11.679,11.692,11.707,11.719,11.733,11.744,11.756,11.772,11.786,11.799,11.814,11.832,11.852,11.872,
    4 personas,10.048,10.134,10.227,10.316,10.413,10.511,10.616,10.722,10.830,10.944,11.055,11.159,11.268,11.367,11.479,11.579,
    5 personas o más,2.066,2.108,2.153,2.198,2.246,2.296,2.347,2.401,2.456,2.513,2.570,2.629,2.689,2.749,2.814,2.878,
Soria,
    Total,36.822,36.888,36.955,37.013,37.059,37.102,37.131,37.163,37.180,37.202,37.216,37.254,37.286,37.320,37.364,37.417,
    1 persona,12.588,12.537,12.490,12.433,12.367,12.298,12.226,12.150,12.058,11.970,11.873,11.787,11.685,11.578,11.473,11.362,
    2 personas,12.125,12.092,12.058,12.020,11.970,11.924,11.863,11.809,11.752,11.689,11.632,11.587,11.549,11.506,11.475,11.449,
    3 personas,5.946,6.012,6.077,6.143,6.210,6.276,6.342,6.409,6.478,6.550,6.620,6.693,6.769,6.848,6.929,7.015,
    4 personas,4.460,4.547,4.633,4.724,4.820,4.916,5.016,5.117,5.221,5.329,5.435,5.540,5.649,5.763,5.874,5.990,
    5 personas o más,1.703,1.701,1.698,1.694,1.692,1.687,1.683,1.677,1.672,1.664,1.655,1.645,1.635,1.626,1.613,1.601,
Valladolid,
    Total,221.592,221.674,221.719,221.624,221.505,221.271,221.099,220.825,220.504,220.173,219.788,219.453,219.064,218.613,218.226,217.851,
    1 persona,72.207,71.553,70.892,70.127,69.345,68.479,67.678,66.844,65.927,65.023,64.111,63.256,62.406,61.477,60.673,59.893,
    2 personas,76.688,76.491,76.261,75.993,75.723,75.413,75.104,74.757,74.445,74.126,73.778,73.477,73.137,72.816,72.481,72.191,
    3 personas,40.584,40.916,41.243,41.557,41.873,42.180,42.490,42.780,43.079,43.374,43.658,43.923,44.178,44.434,44.666,44.874,
    4 personas,26.326,26.796,27.272,27.757,28.234,28.723,29.204,29.671,30.130,30.576,31.015,31.419,31.814,32.203,32.572,32.910,
    5 personas o más,5.787,5.917,6.052,6.191,6.331,6.475,6.623,6.773,6.923,7.074,7.227,7.377,7.528,7.681,7.834,7.983,
Zamora,
    Total,68.158,68.702,69.223,69.731,70.229,70.731,71.227,71.729,72.227,72.736,73.236,73.702,74.214,74.685,75.221,75.741,
    1 persona,23.973,23.967,23.956,23.928,23.883,23.814,23.755,23.703,23.624,23.549,23.456,23.340,23.245,23.095,23.011,22.897,
    2 personas,24.055,24.183,24.293,24.393,24.496,24.600,24.673,24.748,24.818,24.877,24.933,24.967,25.020,25.059,25.101,25.141,
    3 personas,11.750,11.957,12.160,12.367,12.576,12.798,13.023,13.243,13.478,13.719,13.963,14.208,14.458,14.717,14.973,15.232,
    4 personas,7.300,7.448,7.595,7.750,7.906,8.073,8.244,8.413,8.591,8.777,8.965,9.156,9.344,9.542,9.733,9.927,
    5 personas o más,1.080,1.147,1.218,1.292,1.368,1.446,1.532,1.623,1.716,1.816,1.919,2.031,2.147,2.272,2.404,2.544,
CASTILLA-LA MANCHA,
    Total,805.392,804.537,803.565,802.361,800.966,799.156,797.326,795.679,793.749,791.697,789.586,787.749,786.018,783.701,782.201,780.675,
    1 persona,225.416,223.405,221.400,219.237,216.897,214.233,211.634,209.151,206.430,203.577,200.582,197.817,195.194,191.677,189.194,186.388,
    2 personas,248.301,247.367,246.337,245.175,243.910,242.465,240.976,239.569,238.077,236.452,234.994,233.707,232.386,231.147,229.926,229.006,
    3 personas,157.289,157.617,157.858,158.095,158.332,158.554,158.763,158.955,159.189,159.471,159.749,159.998,160.240,160.628,160.856,161.164,
    4 personas,138.425,139.658,140.919,142.221,143.579,145.008,146.404,147.784,149.158,150.595,151.950,153.204,154.437,155.732,156.922,158.033,
    5 personas o más,35.961,36.491,37.051,37.634,38.248,38.896,39.548,40.220,40.896,41.602,42.311,43.024,43.762,44.517,45.302,46.083,
Albacete,
    Total,156.562,156.373,156.135,155.799,155.463,155.059,154.593,154.191,153.722,153.229,152.678,152.165,151.680,151.049,150.583,150.066,
    1 persona,45.591,45.152,44.692,44.162,43.636,43.046,42.442,41.864,41.244,40.589,39.901,39.229,38.581,37.757,37.143,36.418,
